"","rule_cat_a","rule_cat_b"
"1","mult","ground_truth"
"2","mult","complex"
"3","mult","ground_truth"
"4","mult","ground_truth"
"5","add_2","add_2"
"6","add_2","uncertain"
"7","complex","uncertain"
"8","mult","ground_truth"
"9","complex","complex"
"10","mult","ground_truth"
"11","complex","complex"
"12","add_2","uncertain"
"13","add_2","add_2"
"14","mult","ground_truth"
"15","mult","ground_truth"
"16","complex","uncertain"
"17","add_2","add_2"
"18","mult","ground_truth"
"19","mult","complex"
"20","complex","complex"
"21","add_2","uncertain"
"22","mult","ground_truth"
"23","mult","complex"
"24","mult","ground_truth"
"25","add_2","uncertain"
"26","add_2","complex"
"27","mult","ground_truth"
"28","add_2","uncertain"
"29","mult","ground_truth"
"30","mult","uncertain"
"31","mult","ground_truth"
"32","mult","ground_truth"
"33","mult","ground_truth"
"34","mult","ground_truth"
"35","mult","ground_truth"
"36","mult","ground_truth"
"37","add_2","complex"
"38","mult","complex"
"39","mult","complex"
"40","complex","complex"
"41","complex","complex"
"42","add_2","add_2"
"43","mult","ground_truth"
"44","mult","ground_truth"
"45","complex","complex"
"46","mult","ground_truth"
"47","add_2","uncertain"
"48","add_2","add_2"
"49","complex","complex"
"50","uncertain","complex"
"51","add_2","complex"
"52","mult","uncertain"
"53","add_2","complex"
"54","add_2","complex"
"55","mult","ground_truth"
"56","add_2","add_2"
"57","add_2","add_2"
"58","mult","ground_truth"
"59","mult","ground_truth"
"60","mult","complex"
"61","complex","uncertain"
"62","complex","complex"
"63","mult","uncertain"
"64","mult","ground_truth"
"65","mult","ground_truth"
"66","complex","complex"
"67","complex","complex"
"68","complex","complex"
"69","uncertain","uncertain"
"70","mult","ground_truth"
"71","complex","complex"
"72","complex","uncertain"
"73","complex","ground_truth"
"74","complex","complex"
"75","complex","complex"
"76","mult","uncertain"
"77","complex","subtraction"
"78","mult","ground_truth"
"79","mult","uncertain"
"80","mult","ground_truth"
"81","complex","complex"
"82","add_2","complex"
"83","complex","uncertain"
"84","complex","complex"
"85","mult","ground_truth"
"86","mult","subtraction"
"87","add_2","uncertain"
"88","mult","ground_truth"
"89","add_2","complex"
"90","complex","complex"
"91","complex","complex"
"92","complex","complex"
"93","complex","complex"
"94","uncertain","uncertain"
"95","add_2","subtraction"
"96","mult","ground_truth"
"97","mult","ground_truth"
"98","mult","ground_truth"
"99","uncertain","uncertain"
"100","uncertain","uncertain"
"101","mult","ground_truth"
"102","complex","uncertain"
"103","add_2","add_2"
"104","complex","ground_truth"
"105","complex","complex"
"106","mult","ground_truth"
"107","mult","ground_truth"
